Change Physical Footprint: Designator=* Old Footprint=Logo New Footprint=Logo
Change Physical Footprint: Designator=B? Old Footprint=BC-2404 New Footprint=BC-2404
Change Physical Footprint: Designator=C1 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C2 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C3 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C4 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C5 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C6 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=J1 Old Footprint=TE_1-2295018-2 New Footprint=TE_1-2295018-2
Change Physical Footprint: Designator=LED1 Old Footprint=LED-0603-RED New Footprint=LED-0603-RED
Change Physical Footprint: Designator=LED2 Old Footprint=LED-0603-RED New Footprint=LED-0603-RED
Change Physical Footprint: Designator=P1 Old Footprint=MHDR1X6 New Footprint=MHDR1X6
Change Physical Footprint: Designator=P2 Old Footprint=MHDR1X6 New Footprint=MHDR1X6
Change Physical Footprint: Designator=R1 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R2 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R3 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R4 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R5 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=R6 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R7 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=R8 Old Footprint=RESC1608X55N New Footprint=RESC1608X55N
Change Physical Footprint: Designator=TP1 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=TP2 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=TP3 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=TP4 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=TP5 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=TP6 Old Footprint=TP New Footprint=TP
Change Physical Footprint: Designator=U1 Old Footprint=OLGA8 New Footprint=OLGA8
Change Physical Footprint: Designator=U2 Old Footprint=BL652 New Footprint=BL652
Change Physical Footprint: Designator=U3 Old Footprint=SOT-23-OT5_N New Footprint=SOT-23-OT5_N
Change Physical Footprint: Designator=U4 Old Footprint=TI-DBV5_N New Footprint=TI-DBV5_N
